query_name,timeout,run_id,cpus,nb_results,nb_quantum,next_size(kb),execution_time(sec)
query_299,60000,run_1,4-cpus,3092998,2,0.6572265625 kb,108.27595591545105 sec
query_299,60000000,run_1,4-cpus,3092998,2,0.6533203125 kb,106.49175953865051 sec
query_299,60000,run_2,4-cpus,3092998,2,0.6533203125 kb,106.73998618125916 sec
query_299,60000000,run_2,4-cpus,3092998,2,0.6572265625 kb,108.08471155166626 sec
query_299,60000,run_3,4-cpus,3092998,2,0.6650390625 kb,105.01444220542908 sec
query_299,60000000,run_3,4-cpus,3092998,2,0.7744140625 kb,105.42788171768188 sec
query_386,60000,run_1,4-cpus,951832,3,2.740234375 kb,137.10976910591125 sec
query_386,60000000,run_1,4-cpus,951832,3,2.728515625 kb,137.14234256744385 sec
query_386,60000,run_2,4-cpus,951832,3,3.427734375 kb,137.39505314826965 sec
query_386,60000000,run_2,4-cpus,951832,3,2.681640625 kb,137.03708004951477 sec
query_386,60000,run_3,4-cpus,951832,3,2.962890625 kb,138.43586659431458 sec
query_386,60000000,run_3,4-cpus,951832,3,2.814453125 kb,139.91457891464233 sec
query_167,60000,run_1,4-cpus,4719,6,6.6923828125 kb,349.9946460723877 sec
query_167,60000000,run_1,4-cpus,4719,6,6.6845703125 kb,354.9897015094757 sec
query_167,60000,run_2,4-cpus,4719,6,6.6845703125 kb,351.81958293914795 sec
query_167,60000000,run_2,4-cpus,4719,6,6.6806640625 kb,348.20707631111145 sec
query_167,60000,run_3,4-cpus,4719,6,6.6845703125 kb,351.87058568000793 sec
query_167,60000000,run_3,4-cpus,4719,6,6.6728515625 kb,345.78618264198303 sec
query_662,60000,run_1,4-cpus,2471078,2,0.7783203125 kb,89.51444697380066 sec
query_662,60000000,run_1,4-cpus,2471078,2,0.9345703125 kb,90.171879529953 sec
query_662,60000,run_2,4-cpus,2471078,2,0.9345703125 kb,88.15250563621521 sec
query_662,60000000,run_2,4-cpus,2471078,2,0.7705078125 kb,89.60596513748169 sec
query_662,60000,run_3,4-cpus,2471078,2,0.9345703125 kb,90.34991407394409 sec
query_662,60000000,run_3,4-cpus,2471078,2,0.9345703125 kb,89.51476454734802 sec
query_455,60000,run_1,4-cpus,1717142,1,0.015625 kb,56.094964265823364 sec
query_455,60000000,run_1,4-cpus,1717142,1,0.015625 kb,56.39078092575073 sec
query_455,60000,run_2,4-cpus,1717142,1,0.015625 kb,55.76328182220459 sec
query_455,60000000,run_2,4-cpus,1717142,1,0.015625 kb,56.04360771179199 sec
query_455,60000,run_3,4-cpus,1717142,1,0.015625 kb,56.699596643447876 sec
query_455,60000000,run_3,4-cpus,1717142,1,0.015625 kb,56.048685789108276 sec
query_391,60000,run_1,4-cpus,4188680,3,1.876953125 kb,144.08007884025574 sec
query_391,60000000,run_1,4-cpus,4188680,3,1.962890625 kb,143.38576197624207 sec
query_391,60000,run_2,4-cpus,4188680,3,1.857421875 kb,144.09509563446045 sec
query_391,60000000,run_2,4-cpus,4188680,3,1.873046875 kb,145.60429763793945 sec
query_391,60000,run_3,4-cpus,4188680,3,1.943359375 kb,142.5467071533203 sec
query_391,60000000,run_3,4-cpus,4188680,3,1.685546875 kb,143.74857783317566 sec
query_148,60000,run_1,4-cpus,3447320,5,7.32421875 kb,275.7036440372467 sec
query_148,60000000,run_1,4-cpus,3447320,5,6.6328125 kb,273.1536452770233 sec
