query_name,timeout,run_id,cpus,nb_results,nb_quantum,next_size(kb),execution_time(sec)
query_394,60000,run_1,1-cpus,954554,2,0.7900390625 kb,115.33916091918945 sec
query_394,60000000,run_1,1-cpus,954554,1,0.015625 kb,110.95511317253113 sec
query_394,60000,run_2,1-cpus,954554,2,0.7939453125 kb,114.41140103340149 sec
query_394,60000000,run_2,1-cpus,954554,1,0.015625 kb,113.09064197540283 sec
query_394,60000,run_3,1-cpus,954554,2,0.8916015625 kb,115.73151588439941 sec
query_394,60000000,run_3,1-cpus,954554,1,0.015625 kb,113.18406319618225 sec
query_466,60000,run_1,1-cpus,4153822,5,4.2734375 kb,276.83160042762756 sec
query_466,60000000,run_1,1-cpus,4153822,1,0.015625 kb,268.9186372756958 sec
query_466,60000,run_2,1-cpus,4153822,5,4.4609375 kb,278.3577995300293 sec
query_466,60000000,run_2,1-cpus,4153822,1,0.015625 kb,271.65179347991943 sec
query_466,60000,run_3,1-cpus,4153822,5,4.3359375 kb,276.1571102142334 sec
query_466,60000000,run_3,1-cpus,4153822,1,0.015625 kb,271.4142062664032 sec
query_667,60000,run_1,1-cpus,2691419,2,0.8330078125 kb,107.06206130981445 sec
query_667,60000000,run_1,1-cpus,2691419,1,0.015625 kb,103.05903220176697 sec
query_667,60000,run_2,1-cpus,2691419,2,0.7080078125 kb,108.60105991363525 sec
query_667,60000000,run_2,1-cpus,2691419,1,0.015625 kb,102.86715745925903 sec
query_667,60000,run_3,1-cpus,2691419,2,0.8291015625 kb,110.6431474685669 sec
query_667,60000000,run_3,1-cpus,2691419,1,0.015625 kb,103.1569287776947 sec
query_353,60000,run_1,1-cpus,12203,7,6.923828125 kb,394.7502028942108 sec
query_353,60000000,run_1,1-cpus,12203,1,0.015625 kb,391.5417926311493 sec
query_353,60000,run_2,1-cpus,12203,7,6.939453125 kb,399.929970741272 sec
query_353,60000000,run_2,1-cpus,12203,1,0.015625 kb,405.97759222984314 sec
query_353,60000,run_3,1-cpus,12203,7,6.916015625 kb,393.49516892433167 sec
query_353,60000000,run_3,1-cpus,12203,1,0.015625 kb,406.487984418869 sec
query_601,60000,run_1,1-cpus,2681380,3,2.220703125 kb,174.8782618045807 sec
query_601,60000000,run_1,1-cpus,2681380,1,0.015625 kb,168.38418841362 sec
query_601,60000,run_2,1-cpus,2681380,3,2.470703125 kb,174.75473713874817 sec
query_601,60000000,run_2,1-cpus,2681380,1,0.015625 kb,166.2365779876709 sec
query_601,60000,run_3,1-cpus,2681380,3,2.720703125 kb,175.2270576953888 sec
query_601,60000000,run_3,1-cpus,2681380,1,0.015625 kb,169.55530166625977 sec
query_597,60000,run_1,1-cpus,2569734,2,0.8681640625 kb,89.6203670501709 sec
query_597,60000000,run_1,1-cpus,2569734,1,0.015625 kb,85.09333729743958 sec
query_597,60000,run_2,1-cpus,2569734,2,0.8095703125 kb,91.28407192230225 sec
query_597,60000000,run_2,1-cpus,2569734,1,0.015625 kb,89.41383862495422 sec
query_597,60000,run_3,1-cpus,2569734,2,0.8681640625 kb,94.80980062484741 sec
query_597,60000000,run_3,1-cpus,2569734,1,0.015625 kb,87.97412896156311 sec
query_346,60000,run_1,1-cpus,51,6,8.6064453125 kb,353.02991223335266 sec
query_346,60000000,run_1,1-cpus,51,1,0.015625 kb,355.78351974487305 sec
query_346,60000,run_2,1-cpus,51,6,8.6064453125 kb,349.78564524650574 sec
query_346,60000000,run_2,1-cpus,51,1,0.015625 kb,356.1987955570221 sec
query_346,60000,run_3,1-cpus,51,6,8.5986328125 kb,351.4929106235504 sec
query_346,60000000,run_3,1-cpus,51,1,0.015625 kb,344.49375677108765 sec
query_598,60000,run_1,1-cpus,1387844,3,1.302734375 kb,135.7065145969391 sec
query_598,60000000,run_1,1-cpus,1387844,1,0.015625 kb,132.8170554637909 sec
query_598,60000,run_2,1-cpus,1387844,3,1.373046875 kb,135.9335823059082 sec
query_598,60000000,run_2,1-cpus,1387844,1,0.015625 kb,132.28007912635803 sec
query_598,60000,run_3,1-cpus,1387844,3,1.306640625 kb,134.16061544418335 sec
query_598,60000000,run_3,1-cpus,1387844,1,0.015625 kb,131.13308477401733 sec
query_356,60000,run_1,1-cpus,8504,7,6.318359375 kb,380.9066815376282 sec
query_356,60000000,run_1,1-cpus,8504,1,0.015625 kb,386.59799456596375 sec
query_356,60000,run_2,1-cpus,8504,7,6.318359375 kb,393.2334167957306 sec
query_356,60000000,run_2,1-cpus,8504,1,0.015625 kb,384.27160692214966 sec
query_356,60000,run_3,1-cpus,8504,7,6.326171875 kb,387.63148021698 sec
query_356,60000000,run_3,1-cpus,8504,1,0.015625 kb,386.43030047416687 sec
query_599,60000,run_1,1-cpus,3266451,2,0.8017578125 kb,113.14743876457214 sec
query_599,60000000,run_1,1-cpus,3266451,1,0.015625 kb,109.91158294677734 sec
query_599,60000,run_2,1-cpus,3266451,2,0.7978515625 kb,112.81775689125061 sec
query_599,60000000,run_2,1-cpus,3266451,1,0.015625 kb,106.77407908439636 sec
query_599,60000,run_3,1-cpus,3266451,2,0.7353515625 kb,116.29490542411804 sec
query_599,60000000,run_3,1-cpus,3266451,1,0.015625 kb,110.24936938285828 sec
query_424,60000,run_1,1-cpus,1083954,2,3.1103515625 kb,120.85462069511414 sec
query_424,60000000,run_1,1-cpus,1083954,1,0.015625 kb,118.16604709625244 sec
query_424,60000,run_2,1-cpus,1083954,2,2.1923828125 kb,120.49997210502625 sec
