query_name run cpus nb_results execution_time(ms)
query_408 run_1 4-cpus 9625415 81905
query_408 run_2 4-cpus 9625415 85076
query_408 run_3 4-cpus 9625415 85487
query_178 run_1 4-cpus 3155 75850
query_178 run_2 4-cpus 3155 66269
query_178 run_3 4-cpus 3155 72381
query_359 run_1 4-cpus 2556835 89976
query_359 run_2 4-cpus 2556835 99222
query_359 run_3 4-cpus 2556835 90518
query_142 run_1 4-cpus 735240 34717
query_142 run_2 4-cpus 735240 38752
query_142 run_3 4-cpus 735240 74674
query_207 run_1 4-cpus 513823 43474
query_207 run_2 4-cpus 513823 36720
query_207 run_3 4-cpus 513823 38471
query_371 run_1 4-cpus 9193227 81280
query_371 run_2 4-cpus 9193227 94385
query_371 run_3 4-cpus 9193227 80376
query_272 run_1 4-cpus 2646951 23336
query_272 run_2 4-cpus 2646951 23523
query_272 run_3 4-cpus 2646951 24471
query_116 run_1 4-cpus 7299329 25449
query_116 run_2 4-cpus 7299329 25322
query_116 run_3 4-cpus 7299329 25634
query_430 run_1 4-cpus 9195310 83783
query_430 run_2 4-cpus 9195310 86258
query_430 run_3 4-cpus 9195310 83971
query_278 run_1 4-cpus 1094939 14325
query_278 run_2 4-cpus 1094939 14252
query_278 run_3 4-cpus 1094939 15175
query_455 run_1 4-cpus 548230 18994
query_455 run_2 4-cpus 548230 21302
query_455 run_3 4-cpus 548230 19740
query_391 run_1 4-cpus 9181496 78353
query_391 run_2 4-cpus 9181496 81296
query_391 run_3 4-cpus 9181496 84618
query_259 run_1 4-cpus 7236982 42491
query_259 run_2 4-cpus 7236982 40605
query_259 run_3 4-cpus 7236982 40832
query_229 run_1 4-cpus 1740811 21347
query_229 run_2 4-cpus 1740811 21262
query_229 run_3 4-cpus 1740811 21199
query_225 run_1 4-cpus 1837175 52510
query_225 run_2 4-cpus 1837175 61799
query_225 run_3 4-cpus 1837175 53918
query_228 run_1 4-cpus 2160367 27633
query_228 run_2 4-cpus 2160367 26167
query_228 run_3 4-cpus 2160367 24424
query_110 run_1 4-cpus 1651611 37417
query_110 run_2 4-cpus 1651611 38739
query_110 run_3 4-cpus 1651611 37425
query_45 run_1 4-cpus 1558460 37016
query_45 run_2 4-cpus 1558460 35351
query_45 run_3 4-cpus 1558460 38167
query_52 run_1 4-cpus 8907768 64345
query_52 run_2 4-cpus 8907768 57385
query_52 run_3 4-cpus 8907768 56416
query_330 run_1 4-cpus 4823032 51372
query_330 run_2 4-cpus 4823032 42896
query_330 run_3 4-cpus 4823032 42401
query_360 run_1 4-cpus 2478227 99661
query_360 run_2 4-cpus 2478227 102861
query_360 run_3 4-cpus 2478227 100876
query_59 run_1 4-cpus 17475938 63211
query_59 run_2 4-cpus 17475938 64896
query_59 run_3 4-cpus 17475938 65094
query_418 run_1 4-cpus 9181493 82414
query_418 run_2 4-cpus 9181493 83353
query_418 run_3 4-cpus 9181493 81509
query_281 run_1 4-cpus 1883301 20195
query_281 run_2 4-cpus 1883301 19880
query_281 run_3 4-cpus 1883301 22490
query_431 run_1 4-cpus 9181488 82048
query_431 run_2 4-cpus 9181488 79970
query_431 run_3 4-cpus 9181488 80589
query_44 run_1 4-cpus 1085345 17599
query_44 run_2 4-cpus 1085345 16485
query_44 run_3 4-cpus 1085345 18211
query_273 run_1 4-cpus 2642703 23783
query_273 run_2 4-cpus 2642703 23192
query_273 run_3 4-cpus 2642703 25264
query_370 run_1 4-cpus 9221119 80030
query_370 run_2 4-cpus 9221119 87120
query_370 run_3 4-cpus 9221119 81940
query_230 run_1 4-cpus 7126194 97482
query_230 run_2 4-cpus 7126194 89442
query_230 run_3 4-cpus 7126194 97681
query_180 run_1 4-cpus 13091 85754
query_180 run_2 4-cpus 13091 67676
query_180 run_3 4-cpus 13091 72402
query_267 run_1 4-cpus 1382846 15441
query_267 run_2 4-cpus 1382846 16491
query_267 run_3 4-cpus 1382846 15961
query_115 run_1 4-cpus 7445205 27086
query_115 run_2 4-cpus 7445205 29168
query_115 run_3 4-cpus 7445205 27822
query_383 run_1 4-cpus 9181725 82837
query_383 run_2 4-cpus 9181725 86879
query_383 run_3 4-cpus 9181725 79146
query_196 run_1 4-cpus 3873029 62335
query_196 run_2 4-cpus 3873029 60513
query_196 run_3 4-cpus 3873029 62425
query_390 run_1 4-cpus 9181554 81385
query_390 run_2 4-cpus 9181554 80594
query_390 run_3 4-cpus 9181554 83069
query_197 run_1 4-cpus 3872753 87740
query_197 run_2 4-cpus 3872753 86139
query_197 run_3 4-cpus 3872753 84571
query_441 run_1 4-cpus 1636620 35009
query_441 run_2 4-cpus 1636620 33351
query_441 run_3 4-cpus 1636620 36138
query_208 run_1 4-cpus 2862158 72750
query_208 run_2 4-cpus 2862158 74452
query_208 run_3 4-cpus 2862158 77808
query_453 run_1 4-cpus 551661 28373
query_453 run_2 4-cpus 551661 27683
query_453 run_3 4-cpus 551661 33822
query_433 run_1 4-cpus 9181488 116593
query_433 run_2 4-cpus 9181488 98339
query_433 run_3 4-cpus 9181488 100381
query_283 run_1 4-cpus 4296588 28868
query_283 run_2 4-cpus 4296588 29413
query_283 run_3 4-cpus 4296588 26219
query_321 run_1 4-cpus 1668130 56898
query_321 run_2 4-cpus 1668130 51396
query_321 run_3 4-cpus 0
query_42 run_1 4-cpus 709176 17819
query_42 run_2 4-cpus 709176 17032
query_42 run_3 4-cpus 709176 16159
query_226 run_1 4-cpus 1783601 60063
query_226 run_2 4-cpus 1783601 56961
query_226 run_3 4-cpus 1783601 55063
