query_name run cpus nb_results execution_time(ms)
query_408 run_1 4-cpus 0 0
query_408 run_2 4-cpus 0 0
query_408 run_3 4-cpus 0 0
query_178 run_1 4-cpus 3155 8.941
query_178 run_2 4-cpus 3155 6.892
query_178 run_3 4-cpus 3155 6.565
query_359 run_1 4-cpus 2556835 645.511
query_359 run_2 4-cpus 2556835 622.637
query_359 run_3 4-cpus 2556835 623.284
query_142 run_1 4-cpus 735240 186.856
query_142 run_2 4-cpus 735240 151.298
query_142 run_3 4-cpus 735240 148.550
query_207 run_1 4-cpus 513823 319.082
query_207 run_2 4-cpus 513823 292.187
query_207 run_3 4-cpus 513823 289.740
query_371 run_1 4-cpus 0 0
query_371 run_2 4-cpus 0 0
query_371 run_3 4-cpus 0 0
query_272 run_1 4-cpus 2646951 246.158
query_272 run_2 4-cpus 2646951 247.550
query_272 run_3 4-cpus 2646951 239.354
query_116 run_1 4-cpus 7299329 380.174
query_116 run_2 4-cpus 7299329 379.498
query_116 run_3 4-cpus 7299329 363.070
query_430 run_1 4-cpus 0 0
query_430 run_2 4-cpus 0 0
query_430 run_3 4-cpus 0 0
query_278 run_1 4-cpus 1094939 138.469
query_278 run_2 4-cpus 1094939 120.066
query_278 run_3 4-cpus 1094939 121.033
query_455 run_1 4-cpus 548230 80.188
query_455 run_2 4-cpus 548230 77.842
query_455 run_3 4-cpus 548230 95.257
query_391 run_1 4-cpus 0 0
query_391 run_2 4-cpus 0 0
query_391 run_3 4-cpus 0 0
query_259 run_1 4-cpus 7236982 420.190
query_259 run_2 4-cpus 7236982 403.876
query_259 run_3 4-cpus 7236982 395.861
query_229 run_1 4-cpus 1740811 361.736
query_229 run_2 4-cpus 1740811 323.293
query_229 run_3 4-cpus 1740811 313.775
query_225 run_1 4-cpus 1837175 381.012
query_225 run_2 4-cpus 1837175 376.792
query_225 run_3 4-cpus 1837175 384.563
query_228 run_1 4-cpus 2160367 362.077
query_228 run_2 4-cpus 2160367 355.841
query_228 run_3 4-cpus 2160367 346.024
query_110 run_1 4-cpus 1651611 360.319
query_110 run_2 4-cpus 1651611 338.295
query_110 run_3 4-cpus 1651611 340.437
query_45 run_1 4-cpus 1558460 276.058
query_45 run_2 4-cpus 1558460 237.856
query_45 run_3 4-cpus 1558460 232.744
query_52 run_1 4-cpus 0 0
query_52 run_2 4-cpus 0 0
query_52 run_3 4-cpus 0 0
query_330 run_1 4-cpus 4823032 381.923
query_330 run_2 4-cpus 4823032 404.575
query_330 run_3 4-cpus 4823032 383.595
query_360 run_1 4-cpus 2478227 705.585
query_360 run_2 4-cpus 2478227 696.295
query_360 run_3 4-cpus 2478227 749.602
query_59 run_1 4-cpus 17475938 575.946
query_59 run_2 4-cpus 17475938 573.792
query_59 run_3 4-cpus 17475938 565.201
query_418 run_1 4-cpus 0 0
query_418 run_2 4-cpus 0 0
query_418 run_3 4-cpus 0 0
query_281 run_1 4-cpus 1883301 176.891
query_281 run_2 4-cpus 1883301 160.992
query_281 run_3 4-cpus 1883301 160.371
query_431 run_1 4-cpus 0 0
query_431 run_2 4-cpus 0 0
query_431 run_3 4-cpus 0 0
query_44 run_1 4-cpus 1085345 153.271
query_44 run_2 4-cpus 1085345 153.322
query_44 run_3 4-cpus 1085345 154.653
query_273 run_1 4-cpus 2642703 223.924
query_273 run_2 4-cpus 2642703 218.554
query_273 run_3 4-cpus 2642703 215.330
query_370 run_1 4-cpus 0 0
query_370 run_2 4-cpus 0 0
query_370 run_3 4-cpus 0 0
query_230 run_1 4-cpus 7126194 632.576
query_230 run_2 4-cpus 7126194 617.918
query_230 run_3 4-cpus 7126194 619.335
query_180 run_1 4-cpus 13091 15.205
query_180 run_2 4-cpus 13091 12.462
query_180 run_3 4-cpus 13091 12.280
query_267 run_1 4-cpus 1382846 150.828
query_267 run_2 4-cpus 1382846 140.694
query_267 run_3 4-cpus 1382846 136.405
query_115 run_1 4-cpus 7445205 378.722
query_115 run_2 4-cpus 7445205 400.638
query_115 run_3 4-cpus 7445205 400.517
query_383 run_1 4-cpus 0 0
query_383 run_2 4-cpus 0 0
query_383 run_3 4-cpus 0 0
query_196 run_1 4-cpus 0 0
query_196 run_2 4-cpus 0 0
query_196 run_3 4-cpus 0 0
query_390 run_1 4-cpus 0 0
query_390 run_2 4-cpus 0 0
query_390 run_3 4-cpus 0 0
query_197 run_1 4-cpus 0 0
query_197 run_2 4-cpus 0 0
query_197 run_3 4-cpus 0 0
query_441 run_1 4-cpus 1636620 131.882
query_441 run_2 4-cpus 1636620 122.994
query_441 run_3 4-cpus 1636620 120.228
query_208 run_1 4-cpus 0 0
query_208 run_2 4-cpus 0 0
query_208 run_3 4-cpus 0 0
query_453 run_1 4-cpus 551661 113.789
query_453 run_2 4-cpus 551661 99.407
query_453 run_3 4-cpus 551661 98.594
query_433 run_1 4-cpus 0 0
query_433 run_2 4-cpus 0 0
query_433 run_3 4-cpus 0 0
query_283 run_1 4-cpus 4296588 352.369
query_283 run_2 4-cpus 4296588 319.808
query_283 run_3 4-cpus 4296588 325.222
query_321 run_1 4-cpus 1671044 303.396
query_321 run_2 4-cpus 1671044 277.647
query_321 run_3 4-cpus 1671044 279.508
query_42 run_1 4-cpus 709176 159.294
query_42 run_2 4-cpus 709176 137.623
query_42 run_3 4-cpus 709176 138.941
query_226 run_1 4-cpus 1783601 400.718
query_226 run_2 4-cpus 1783601 381.967
query_226 run_3 4-cpus 1783601 391.686
