query_name run cpus nb_results execution_time(ms)
query_394 run_1 1-cpus 954555 145687
query_394 run_2 1-cpus 954555 137453
query_394 run_3 1-cpus 954555 142295
query_466 run_1 1-cpus 4153823 233438
query_466 run_2 1-cpus 4153823 205333
query_466 run_3 1-cpus 4153823 197007
query_667 run_1 1-cpus 2691420 225245
query_667 run_2 1-cpus 2691420 177754
query_667 run_3 1-cpus 2691420 171682
query_353 run_1 1-cpus 12204 178126
query_353 run_2 1-cpus 12204 148478
query_353 run_3 1-cpus 12204 143327
query_601 run_1 1-cpus 2681381 230892
query_601 run_2 1-cpus 2681381 204575
query_601 run_3 1-cpus 2681381 209078
query_597 run_1 1-cpus 2569735 181596
query_597 run_2 1-cpus 2569735 172109
query_597 run_3 1-cpus 2569735 158738
query_346 run_1 1-cpus 52 188177
query_346 run_2 1-cpus 52 160871
query_346 run_3 1-cpus 52 148847
query_598 run_1 1-cpus 1387845 161687
query_598 run_2 1-cpus 1387845 136158
query_598 run_3 1-cpus 1387845 134846
query_356 run_1 1-cpus 8505 200302
query_356 run_2 1-cpus 8505 174765
query_356 run_3 1-cpus 8505 195977
query_599 run_1 1-cpus 3266452 241397
query_599 run_2 1-cpus 3266452 184256
query_599 run_3 1-cpus 3266452 174821
query_424 run_1 1-cpus 1083955 159833
query_424 run_2 1-cpus 1083955 162175
query_424 run_3 1-cpus 1083955 160065
query_144 run_1 1-cpus 4127115 251349
query_144 run_2 1-cpus 4127115 181639
query_144 run_3 1-cpus 4127115 178809
query_299 run_1 1-cpus 3092999 153300
query_299 run_2 1-cpus 3092999 139145
query_299 run_3 1-cpus 3092999 128571
query_386 run_1 1-cpus 951833 171638
query_386 run_2 1-cpus 951833 136390
query_386 run_3 1-cpus 951833 128624
query_167 run_1 1-cpus 4720 160311
query_167 run_2 1-cpus 4720 159575
query_167 run_3 1-cpus 4720 152133
query_662 run_1 1-cpus 2471079 161080
query_662 run_2 1-cpus 2471079 145518
query_662 run_3 1-cpus 2471079 152715
query_455 run_1 1-cpus 1717143 99069
query_455 run_2 1-cpus 1717143 67897
query_455 run_3 1-cpus 1717143 75294
query_391 run_1 1-cpus 4188681 206606
query_391 run_2 1-cpus 4188681 183631
