query_name,run,timeout,nb_pause_resume,execution_time,nb_results
query_394,run_1,60000,1,66284,954554
query_394,run_2,60000,1,71021,954554
query_394,run_3,60000,1,71318,954554
query_394,run_1,60000000,0,76555,954554
query_394,run_2,60000000,0,70430,954554
query_394,run_3,60000000,0,72545,954554
query_466,run_1,60000,1,88539,4153822
query_466,run_2,60000,1,86587,4153822
query_466,run_3,60000,1,87062,4153822
query_466,run_1,60000000,0,82300,4153822
query_466,run_2,60000000,0,84735,4153822
query_466,run_3,60000000,0,88106,4153822
query_667,run_1,60000,1,89655,2691419
query_667,run_2,60000,1,90937,2691419
query_667,run_3,60000,1,90328,2691419
query_667,run_1,60000000,0,94619,2691419
query_667,run_2,60000000,0,102243,2691419
query_667,run_3,60000000,0,89277,2691419
query_353,run_1,60000,0,52376,12203
query_353,run_2,60000,0,51407,12203
query_353,run_3,60000,0,50272,12203
query_353,run_1,60000000,0,54496,12203
query_353,run_2,60000000,0,54730,12203
query_353,run_3,60000000,0,52037,12203
query_601,run_1,60000,1,105199,2681380
query_601,run_2,60000,1,100715,2681380
query_601,run_3,60000,1,108718,2681380
query_601,run_1,60000000,0,107966,2681380
query_601,run_2,60000000,0,103593,2681380
query_601,run_3,60000000,0,99608,2681380
query_597,run_1,60000,1,95723,2569734
query_597,run_2,60000,1,93415,2569734
query_597,run_3,60000,1,82580,2569734
query_597,run_1,60000000,0,77184,2569734
query_597,run_2,60000000,0,86074,2569734
query_597,run_3,60000000,0,79765,2569734
query_346,run_1,60000,1,83191,51
query_346,run_2,60000,1,80895,51
query_346,run_3,60000,1,80407,51
query_346,run_1,60000000,0,80757,51
query_346,run_2,60000000,0,76539,51
query_346,run_3,60000000,0,78101,51
query_598,run_1,60000,1,71351,1387844
query_598,run_2,60000,1,70508,1387844
query_598,run_3,60000,1,79972,1387844
query_598,run_1,60000000,0,68685,1387844
query_598,run_2,60000000,0,71882,1387844
query_598,run_3,60000000,0,79759,1387844
query_356,run_1,60000,1,93194,8504
query_356,run_2,60000,1,88153,8504
query_356,run_3,60000,1,90357,8504
query_356,run_1,60000000,0,89397,8504
query_356,run_2,60000000,0,89444,8504
query_356,run_3,60000000,0,95280,8504
query_599,run_1,60000,1,93269,3266451
query_599,run_2,60000,1,92555,3266451
query_599,run_3,60000,1,92867,3266451
query_599,run_1,60000000,0,95478,3266451
query_599,run_2,60000000,0,92408,3266451
query_599,run_3,60000000,0,96508,3266451
query_424,run_1,60000,1,61397,1083954
query_424,run_2,60000,0,58039,1083954
query_424,run_3,60000,0,55511,1083954
query_424,run_1,60000000,0,57133,1083954
query_424,run_2,60000000,0,56991,1083954
query_424,run_3,60000000,0,58001,1083954
query_144,run_1,60000,1,115571,4127114
query_144,run_2,60000,1,109977,4127114
query_144,run_3,60000,1,111375,4127114
query_144,run_1,60000000,0,113791,4127114
query_144,run_2,60000000,0,107898,4127114
query_144,run_3,60000000,0,110999,4127114
query_299,run_1,60000,1,71287,3092998
query_299,run_2,60000,1,68642,3092998
query_299,run_3,60000,1,73948,3092998
query_299,run_1,60000000,0,71367,3092998
query_299,run_2,60000000,0,68739,3092998
query_299,run_3,60000000,0,73579,3092998
query_386,run_1,60000,1,77294,951832
query_386,run_2,60000,1,68997,951832
query_386,run_3,60000,1,74636,951832
query_386,run_1,60000000,0,72752,951832
query_386,run_2,60000000,0,76942,951832
query_386,run_3,60000000,0,73031,951832
query_167,run_1,60000,1,83868,4719
query_167,run_2,60000,1,81605,4719
query_167,run_3,60000,1,78401,4719
query_167,run_1,60000000,0,80781,4719
query_167,run_2,60000000,0,79393,4719
query_167,run_3,60000000,0,82656,4719
query_662,run_1,60000,1,94469,2471078
query_662,run_2,60000,1,87520,2471078
query_662,run_3,60000,1,87366,2471078
query_662,run_1,60000000,0,84870,2471078
query_662,run_2,60000000,0,84723,2471078
query_662,run_3,60000000,0,80131,2471078
query_455,run_1,60000,0,30447,1717142
query_455,run_2,60000,0,29532,1717142
query_455,run_3,60000,0,33347,1717142
query_455,run_1,60000000,0,34049,1717142
query_455,run_2,60000000,0,32122,1717142
query_455,run_3,60000000,0,30474,1717142
query_391,run_1,60000,1,115196,4188680
query_391,run_2,60000,1,116793,4188680
query_391,run_3,60000,1,116112,4188680
query_391,run_1,60000000,0,110158,4188680
query_391,run_2,60000000,0,117809,4188680
query_391,run_3,60000000,0,112640,4188680
query_148,run_1,60000,2,154787,3447320
query_148,run_2,60000,2,125110,3447320
query_148,run_3,60000,1,119739,3447320
query_148,run_1,60000000,0,116635,3447320
query_148,run_2,60000000,0,121071,3447320
query_148,run_3,60000000,0,117588,3447320
query_679,run_1,60000,1,64629,259
query_679,run_2,60000,0,57258,259
query_679,run_3,60000,0,57021,259
query_679,run_1,60000000,0,56780,259
query_679,run_2,60000000,0,57366,259
query_679,run_3,60000000,0,57294,259
query_513,run_1,60000,1,95448,4085083
query_513,run_2,60000,1,93813,4085083
query_513,run_3,60000,1,85644,4085083
query_513,run_1,60000000,0,85338,4085083
query_513,run_2,60000000,0,97788,4085083
query_513,run_3,60000000,0,89103,4085083
query_347,run_1,60000,1,81516,1
query_347,run_2,60000,1,80390,1
query_347,run_3,60000,1,78966,1
