query_name,run,timeout,nb_pause_resume,execution_time,nb_results
query_14,run_3,60000,0,52457,2525062
query_14,run_1,60000000,0,52447,2525062
query_14,run_2,60000000,0,52116,2525062
query_14,run_3,60000000,0,52788,2525062
query_439,run_1,60000,1,61082,2832909
query_439,run_2,60000,1,61437,2832909
query_439,run_3,60000,1,61743,2832909
query_439,run_1,60000000,0,60492,2832909
query_439,run_2,60000000,0,59354,2832909
query_439,run_3,60000000,0,60651,2832909
query_456,run_1,60000,0,33790,1091215
query_456,run_2,60000,0,33886,1091215
query_456,run_3,60000,0,33890,1091215
query_456,run_1,60000000,0,34084,1091215
query_456,run_2,60000000,0,33669,1091215
query_456,run_3,60000000,0,33610,1091215
query_385,run_1,60000,1,69889,967563
query_385,run_2,60000,1,69677,967563
query_385,run_3,60000,1,69556,967563
query_385,run_1,60000000,0,71268,967563
query_385,run_2,60000000,0,69724,967563
query_385,run_3,60000000,0,68572,967563
query_396,run_1,60000,1,95668,1097779
query_396,run_2,60000,1,99082,1097779
query_396,run_3,60000,1,97293,1097779
query_396,run_1,60000000,0,96408,1097779
query_396,run_2,60000000,0,94399,1097779
query_396,run_3,60000000,0,94612,1097779
query_354,run_1,60000,1,94878,13087
query_354,run_2,60000,1,93888,13087
query_354,run_3,60000,1,92337,13087
query_354,run_1,60000000,0,92625,13087
query_354,run_2,60000000,0,91177,13087
query_354,run_3,60000000,0,93877,13087
query_357,run_1,60000,1,111560,1327
query_357,run_2,60000,1,113116,1327
query_357,run_3,60000,1,113355,1327
query_357,run_1,60000000,0,113225,1327
query_357,run_2,60000000,0,109967,1327
query_357,run_3,60000000,0,110408,1327
query_288,run_1,60000,1,106619,5886774
query_288,run_2,60000,1,107088,5886774
query_288,run_3,60000,1,107462,5886774
query_288,run_1,60000000,0,105548,5886774
query_288,run_2,60000000,0,105009,5886774
query_288,run_3,60000000,0,105909,5886774
query_289,run_1,60000,0,40348,1119076
query_289,run_2,60000,0,40460,1119076
query_289,run_3,60000,0,40173,1119076
query_289,run_1,60000000,0,41248,1119076
query_289,run_2,60000000,0,40424,1119076
query_289,run_3,60000000,0,40056,1119076
query_435,run_1,60000,2,128554,2828922
query_435,run_2,60000,2,125155,2828922
query_435,run_3,60000,2,123857,2828922
query_435,run_1,60000000,0,123203,2828922
query_435,run_2,60000000,0,124508,2828922
query_435,run_3,60000000,0,124498,2828922
query_646,run_1,60000,13,792238,8
query_646,run_2,60000,13,788141,8
query_646,run_3,60000,13,817466,8
query_646,run_1,60000000,0,801367,8
query_646,run_2,60000000,0,783254,8
query_646,run_3,60000000,0,833794,8
query_17,run_1,60000,1,77244,65
query_17,run_2,60000,1,76667,65
query_17,run_3,60000,1,80137,65
query_17,run_1,60000000,0,75765,65
query_17,run_2,60000000,0,76618,65
query_17,run_3,60000000,0,75479,65
query_468,run_1,60000,2,139176,2556498
query_468,run_2,60000,2,139119,2556498
query_468,run_3,60000,2,141699,2556498
query_468,run_1,60000000,0,140612,2556498
query_468,run_2,60000000,0,139547,2556498
query_468,run_3,60000000,0,140209,2556498
query_596,run_1,60000,1,117980,2467611
query_596,run_2,60000,1,116583,2467611
query_596,run_3,60000,1,117835,2467611
query_596,run_1,60000000,0,116673,2467611
query_596,run_2,60000000,0,114617,2467611
query_596,run_3,60000000,0,114159,2467611
query_631,run_1,60000,1,80755,2550797
