query_name run cpus nb_results execution_time(ms)
query_394 run_1 1-cpus 954555 388.423
query_394 run_2 1-cpus 954555 405.346
query_394 run_3 1-cpus 954555 393.888
query_466 run_1 1-cpus 4153823 547.331
query_466 run_2 1-cpus 4153823 531.676
query_466 run_3 1-cpus 4153823 534.991
query_667 run_1 1-cpus 0 0
query_667 run_2 1-cpus 0 0
query_667 run_3 1-cpus 0 0
query_353 run_1 1-cpus 12204 135.416
query_353 run_2 1-cpus 12204 109.889
query_353 run_3 1-cpus 12204 108.857
query_601 run_1 1-cpus 0 0
query_601 run_2 1-cpus 0 0
query_601 run_3 1-cpus 0 0
query_597 run_1 1-cpus 2569735 527.532
query_597 run_2 1-cpus 2569735 520.122
query_597 run_3 1-cpus 2569735 503.702
query_346 run_1 1-cpus 52 7.183
query_346 run_2 1-cpus 52 5.764
query_346 run_3 1-cpus 52 5.974
query_598 run_1 1-cpus 1387845 537.864
query_598 run_2 1-cpus 1387845 533.601
query_598 run_3 1-cpus 1387845 547.454
query_356 run_1 1-cpus 8505 10.586
query_356 run_2 1-cpus 8505 8.740
query_356 run_3 1-cpus 8505 8.472
query_599 run_1 1-cpus 0 0
query_599 run_2 1-cpus 0 0
query_599 run_3 1-cpus 0 0
query_424 run_1 1-cpus 1083955 549.512
query_424 run_2 1-cpus 1083955 513.466
query_424 run_3 1-cpus 1083955 506.258
query_144 run_1 1-cpus 0 0
query_144 run_2 1-cpus 0 0
query_144 run_3 1-cpus 0 0
query_299 run_1 1-cpus 3092999 521.400
query_299 run_2 1-cpus 3092999 520.750
query_299 run_3 1-cpus 3092999 524.835
query_386 run_1 1-cpus 951833 556.882
query_386 run_2 1-cpus 951833 562.897
query_386 run_3 1-cpus 951833 550.685
query_167 run_1 1-cpus 4720 7.276
query_167 run_2 1-cpus 4720 7.135
query_167 run_3 1-cpus 4720 9.058
query_662 run_1 1-cpus 0 0
query_662 run_2 1-cpus 0 0
query_662 run_3 1-cpus 0 0
query_455 run_1 1-cpus 1717143 341.504
query_455 run_2 1-cpus 1717143 320.950
query_455 run_3 1-cpus 1717143 321.101
query_391 run_1 1-cpus 0 0
query_391 run_2 1-cpus 0 0
query_391 run_3 1-cpus 0 0
query_148 run_1 1-cpus 0 0
query_148 run_2 1-cpus 0 0
query_148 run_3 1-cpus 0 0
query_679 run_1 1-cpus 260 383.119
query_679 run_2 1-cpus 260 376.727
query_679 run_3 1-cpus 260 382.526
query_513 run_1 1-cpus 4085084 585.993
query_513 run_2 1-cpus 4085084 575.612
query_513 run_3 1-cpus 4085084 572.928
query_347 run_1 1-cpus 2 140.655
query_347 run_2 1-cpus 2 136.358
query_347 run_3 1-cpus 2 136.791
query_360 run_1 1-cpus 11 196.285
query_360 run_2 1-cpus 11 210.876
query_360 run_3 1-cpus 11 192.101
query_434 run_1 1-cpus 1383894 552.125
query_434 run_2 1-cpus 1383894 542.823
query_434 run_3 1-cpus 1383894 551.064
query_395 run_1 1-cpus 1706455 533.335
query_395 run_2 1-cpus 1706455 525.074
query_395 run_3 1-cpus 1706455 527.716
query_512 run_1 1-cpus 0 0
query_512 run_2 1-cpus 0 0
query_512 run_3 1-cpus 0 0
query_14 run_1 1-cpus 2525063 318.621
query_14 run_2 1-cpus 2525063 289.496
query_14 run_3 1-cpus 2525063 298.540
query_439 run_1 1-cpus 2832910 494.163
query_439 run_2 1-cpus 2832910 507.429
query_439 run_3 1-cpus 2832910 534.147
query_456 run_1 1-cpus 1091216 283.520
query_456 run_2 1-cpus 1091216 280.917
query_456 run_3 1-cpus 1091216 305.291
query_385 run_1 1-cpus 967564 558.130
query_385 run_2 1-cpus 967564 558.540
query_385 run_3 1-cpus 967564 546.371
query_396 run_1 1-cpus 1097780 591.254
query_396 run_2 1-cpus 1097780 589.339
query_396 run_3 1-cpus 1097780 587.229
query_354 run_1 1-cpus 13088 16.118
query_354 run_2 1-cpus 13088 13.429
query_354 run_3 1-cpus 13088 12.737
query_357 run_1 1-cpus 1328 359.788
query_357 run_2 1-cpus 1328 364.088
query_357 run_3 1-cpus 1328 344.779
query_288 run_1 1-cpus 5886775 556.090
query_288 run_2 1-cpus 5886775 543.460
query_288 run_3 1-cpus 5886775 530.976
query_289 run_1 1-cpus 1119077 440.244
query_289 run_2 1-cpus 1119077 437.119
query_289 run_3 1-cpus 1119077 465.300
query_435 run_1 1-cpus 0 0
query_435 run_2 1-cpus 0 0
query_435 run_3 1-cpus 0 0
query_646 run_1 1-cpus 9 198.370
query_646 run_2 1-cpus 9 166.682
query_646 run_3 1-cpus 9 161.334
query_17 run_1 1-cpus 66 130.788
query_17 run_2 1-cpus 66 154.753
query_17 run_3 1-cpus 66 135.733
query_468 run_1 1-cpus 0 0
query_468 run_2 1-cpus 0 0
query_468 run_3 1-cpus 0 0
query_596 run_1 1-cpus 2467612 546.957
query_596 run_2 1-cpus 2467612 550.681
query_596 run_3 1-cpus 2467612 539.793
query_631 run_1 1-cpus 0 0
query_631 run_2 1-cpus 0 0
query_631 run_3 1-cpus 0 0
query_358 run_1 1-cpus 110 366.886
query_358 run_2 1-cpus 110 313.052
query_358 run_3 1-cpus 110 320.019
query_146 run_1 1-cpus 0 0
query_146 run_2 1-cpus 0 0
query_146 run_3 1-cpus 0 0
query_469 run_1 1-cpus 0 0
query_469 run_2 1-cpus 0 0
query_469 run_3 1-cpus 0 0
query_514 run_1 1-cpus 1904751 570.322
query_514 run_2 1-cpus 1904751 585.132
query_514 run_3 1-cpus 1904751 584.382
query_447 run_1 1-cpus 1363234 328.462
query_447 run_2 1-cpus 1363234 295.522
query_447 run_3 1-cpus 1363234 291.534
query_379 run_1 1-cpus 349944 324.394
query_379 run_2 1-cpus 349944 322.663
query_379 run_3 1-cpus 349944 323.951
query_425 run_1 1-cpus 1041232 506.979
query_425 run_2 1-cpus 1041232 560.397
query_425 run_3 1-cpus 1041232 519.194
query_355 run_1 1-cpus 546091 102.252
query_355 run_2 1-cpus 546091 79.712
query_355 run_3 1-cpus 546091 81.270
