query_name,timeout,run_id,cpus,nb_results,nb_quantum,next_size(kb),execution_time(sec)
query_408,60000,run_1,4-cpus,9625414,5,2.37890625 kb,277.0333287715912 sec
query_408,60000000,run_1,4-cpus,9625414,1,0.015625 kb,261.65191674232483 sec
query_408,60000,run_2,4-cpus,9625414,5,2.37890625 kb,274.2698185443878 sec
query_408,60000000,run_2,4-cpus,9625414,1,0.015625 kb,262.4349148273468 sec
query_408,60000,run_3,4-cpus,9625414,5,2.51171875 kb,276.8211843967438 sec
query_408,60000000,run_3,4-cpus,9625414,1,0.015625 kb,267.12559175491333 sec
query_178,60000,run_1,4-cpus,3154,7,19.955078125 kb,368.2980968952179 sec
query_178,60000000,run_1,4-cpus,3154,1,0.015625 kb,365.80758786201477 sec
query_178,60000,run_2,4-cpus,3154,7,20.123046875 kb,367.15859174728394 sec
query_178,60000000,run_2,4-cpus,3154,1,0.015625 kb,355.84591269493103 sec
query_178,60000,run_3,4-cpus,3154,7,20.091796875 kb,369.0261368751526 sec
query_178,60000000,run_3,4-cpus,3154,1,0.015625 kb,361.3655517101288 sec
query_359,60000,run_1,4-cpus,2556834,4,12.5263671875 kb,234.32930994033813 sec
query_359,60000000,run_1,4-cpus,2556834,1,0.015625 kb,232.7672221660614 sec
query_359,60000,run_2,4-cpus,2556834,4,12.5693359375 kb,228.9693455696106 sec
query_359,60000000,run_2,4-cpus,2556834,1,0.015625 kb,224.8861575126648 sec
query_359,60000,run_3,4-cpus,2556834,4,12.3505859375 kb,231.01537442207336 sec
query_359,60000000,run_3,4-cpus,2556834,1,0.015625 kb,220.30960059165955 sec
query_142,60000,run_1,4-cpus,735239,4,13.2138671875 kb,188.6720163822174 sec
query_142,60000000,run_1,4-cpus,735239,1,0.015625 kb,200.4257471561432 sec
query_142,60000,run_2,4-cpus,735239,4,13.3232421875 kb,192.02704167366028 sec
query_142,60000000,run_2,4-cpus,735239,1,0.015625 kb,186.7683584690094 sec
query_142,60000,run_3,4-cpus,735239,4,13.2138671875 kb,187.71696209907532 sec
query_142,60000000,run_3,4-cpus,735239,1,0.015625 kb,184.48370051383972 sec
query_207,60000,run_1,4-cpus,513822,2,2.6845703125 kb,100.34353280067444 sec
query_207,60000000,run_1,4-cpus,513822,1,0.015625 kb,100.49327278137207 sec
query_207,60000,run_2,4-cpus,513822,2,3.2080078125 kb,100.37895202636719 sec
query_207,60000000,run_2,4-cpus,513822,1,0.015625 kb,110.98617243766785 sec
query_207,60000,run_3,4-cpus,513822,2,2.4150390625 kb,100.26880669593811 sec
query_207,60000000,run_3,4-cpus,513822,1,0.015625 kb,100.28906464576721 sec
query_371,60000,run_1,4-cpus,9193226,5,2.39453125 kb,265.997695684433 sec
query_371,60000000,run_1,4-cpus,9193226,1,0.015625 kb,263.4495794773102 sec
query_371,60000,run_2,4-cpus,9193226,5,2.3828125 kb,266.7925639152527 sec
