query_name,timeout,run_id,cpus,nb_results,nb_quantum,next_size(kb),execution_time(sec)
query_259,60000000,run_1,1-cpus,7236981,1,0.015625 kb,52.51809883117676 sec
query_259,60000,run_2,1-cpus,7236981,1,0.015625 kb,53.19708228111267 sec
query_259,60000000,run_2,1-cpus,7236981,1,0.015625 kb,52.33641004562378 sec
query_259,60000,run_3,1-cpus,7236981,1,0.015625 kb,52.578028440475464 sec
query_259,60000000,run_3,1-cpus,7236981,1,0.015625 kb,51.586917877197266 sec
query_229,60000,run_1,1-cpus,1740810,1,0.015625 kb,49.821125507354736 sec
query_229,60000000,run_1,1-cpus,1740810,1,0.015625 kb,48.95567440986633 sec
query_229,60000,run_2,1-cpus,1740810,1,0.015625 kb,48.82253456115723 sec
query_229,60000000,run_2,1-cpus,1740810,1,0.015625 kb,49.69774651527405 sec
query_229,60000,run_3,1-cpus,1740810,1,0.015625 kb,48.65863347053528 sec
query_229,60000000,run_3,1-cpus,1740810,1,0.015625 kb,49.66468381881714 sec
query_225,60000,run_1,1-cpus,1837174,4,6.1708984375 kb,223.42254853248596 sec
query_225,60000000,run_1,1-cpus,1837174,4,6.1435546875 kb,223.04684329032898 sec
query_225,60000,run_2,1-cpus,1837174,4,5.5966796875 kb,224.05406284332275 sec
query_225,60000000,run_2,1-cpus,1837174,4,6.3505859375 kb,223.2026436328888 sec
query_225,60000,run_3,1-cpus,1837174,4,5.9638671875 kb,219.7541732788086 sec
query_225,60000000,run_3,1-cpus,1837174,4,5.2099609375 kb,221.4566934108734 sec
query_228,60000,run_1,1-cpus,2160366,1,0.015625 kb,58.440608739852905 sec
query_228,60000000,run_1,1-cpus,2160366,1,0.015625 kb,57.64582562446594 sec
query_228,60000,run_2,1-cpus,2160366,1,0.015625 kb,57.25612950325012 sec
query_228,60000000,run_2,1-cpus,2160366,1,0.015625 kb,56.66199064254761 sec
query_228,60000,run_3,1-cpus,2160366,1,0.015625 kb,56.14401841163635 sec
query_228,60000000,run_3,1-cpus,2160366,1,0.015625 kb,56.90135335922241 sec
query_110,60000,run_1,1-cpus,1651610,2,1.4931640625 kb,107.78530550003052 sec
query_110,60000000,run_1,1-cpus,1651610,2,1.3173828125 kb,107.56988143920898 sec
query_110,60000,run_2,1-cpus,1651610,2,1.1416015625 kb,106.74223589897156 sec
query_110,60000000,run_2,1-cpus,1651610,2,1.3173828125 kb,107.97322511672974 sec
query_110,60000,run_3,1-cpus,1651610,2,1.1376953125 kb,106.95837831497192 sec
