query_name,original_query_size,nb_continuation_queries,sum_continuation_queries_size,sum_ratio
query_394,0.12,1,0.19,1.58
query_466,0.24,1,0.58,2.39
query_667,0.12,1,0.52,4.25
query_353,0.17,0,0.00,0.00
query_601,0.21,1,0.61,2.96
query_597,0.15,1,0.61,3.98
query_346,0.38,1,0.71,1.90
query_598,0.15,1,0.22,1.46
query_356,0.21,1,0.57,2.74
query_599,0.15,1,0.22,1.46
query_424,0.31,1,0.39,1.29
query_144,0.17,1,0.57,3.31
query_299,0.12,1,0.19,1.57
query_386,0.20,1,0.28,1.37
query_167,0.29,1,0.63,2.14
query_662,0.12,1,0.55,4.48
query_455,0.19,0,0.00,0.00
query_391,0.12,1,0.54,4.49
query_148,0.26,2,2.14,8.34
query_679,0.12,1,0.19,1.55
query_513,0.15,1,0.58,3.78
query_347,0.38,1,0.71,1.86
query_360,0.47,1,0.81,1.70
query_434,0.26,1,0.34,1.32
query_395,0.12,1,0.19,1.58
query_512,0.29,2,1.48,5.19
query_14,0.16,0,0.00,0.00
query_439,0.12,0,0.00,0.00
query_456,0.16,0,0.00,0.00
query_385,0.15,1,0.22,1.46
query_396,0.29,1,0.85,2.97
query_354,0.21,1,0.57,2.75
query_357,0.21,1,0.59,2.85
query_288,0.29,1,0.69,2.42
query_289,0.15,0,0.00,0.00
query_435,0.20,1,0.76,3.72
query_646,0.23,15,10.03,44.07
query_17,0.40,1,0.75,1.88
query_468,0.26,1,0.67,2.60
query_596,0.21,1,0.64,3.10
query_631,0.12,1,0.55,4.49
query_358,0.48,2,1.86,3.90
query_146,0.12,1,0.51,4.21
query_469,0.12,2,1.04,8.57
query_514,0.26,1,0.75,2.94
query_447,0.12,0,0.00,0.00
query_379,0.12,0,0.00,0.00
query_425,0.36,1,0.45,1.26
query_355,0.21,1,0.57,2.72
