query_name,run,timeout,nb_pause_resume,execution_time,nb_results
query_408,run_1,60000,2,130865,9625414
query_408,run_2,60000,2,131728,9625414
query_408,run_3,60000,2,129677,9625414
query_408,run_1,60000000,0,127626,9625414
query_408,run_2,60000000,0,130525,9625414
query_408,run_3,60000000,0,129897,9625414
query_178,run_1,60000,1,95340,3154
query_178,run_2,60000,1,103312,3154
query_178,run_3,60000,1,97556,3154
query_178,run_1,60000000,0,95433,3154
query_178,run_2,60000000,0,94040,3154
query_178,run_3,60000000,0,93134,3154
query_359,run_1,60000,2,173137,2556834
query_359,run_2,60000,3,181007,2556834
query_359,run_3,60000,3,181525,2556834
query_359,run_1,60000000,0,178786,2556834
query_359,run_2,60000000,0,176605,2556834
query_359,run_3,60000000,0,178837,2556834
query_142,run_1,60000,0,47731,735239
query_142,run_2,60000,0,46336,735239
query_142,run_3,60000,0,46629,735239
query_142,run_1,60000000,0,45204,735239
query_142,run_2,60000000,0,46406,735239
query_142,run_3,60000000,0,46668,735239
query_207,run_1,60000,0,51418,513822
query_207,run_2,60000,0,49709,513822
query_207,run_3,60000,0,49382,513822
query_207,run_1,60000000,0,48422,513822
query_207,run_2,60000000,0,49563,513822
query_207,run_3,60000000,0,49771,513822
query_371,run_1,60000,2,128792,9193226
query_371,run_2,60000,2,125652,9193226
query_371,run_3,60000,2,127439,9193226
query_371,run_1,60000000,0,124772,9193226
query_371,run_2,60000000,0,129021,9193226
query_371,run_3,60000000,0,125972,9193226
query_272,run_1,60000,0,55720,2646950
query_272,run_2,60000,0,57451,2646950
query_272,run_3,60000,0,56608,2646950
query_272,run_1,60000000,0,55433,2646950
query_272,run_2,60000000,0,58053,2646950
query_272,run_3,60000000,0,54651,2646950
query_116,run_1,60000,0,36558,7299328
query_116,run_2,60000,0,36601,7299328
query_116,run_3,60000,0,36628,7299328
query_116,run_1,60000000,0,36815,7299328
query_116,run_2,60000000,0,37104,7299328
query_116,run_3,60000000,0,36855,7299328
query_430,run_1,60000,2,129313,9195309
query_430,run_2,60000,2,126860,9195309
query_430,run_3,60000,2,127177,9195309
query_430,run_1,60000000,0,125544,9195309
query_430,run_2,60000000,0,125815,9195309
query_430,run_3,60000000,0,127479,9195309
query_278,run_1,60000,0,28912,1094938
query_278,run_2,60000,0,29904,1094938
query_278,run_3,60000,0,29217,1094938
query_278,run_1,60000000,0,29501,1094938
query_278,run_2,60000000,0,29006,1094938
query_278,run_3,60000000,0,29670,1094938
query_455,run_1,60000,0,24400,548229
query_455,run_2,60000,0,24482,548229
query_455,run_3,60000,0,24330,548229
query_455,run_1,60000000,0,24156,548229
query_455,run_2,60000000,0,24015,548229
query_455,run_3,60000000,0,24143,548229
query_391,run_1,60000,2,126649,9181495
query_391,run_2,60000,2,125049,9181495
query_391,run_3,60000,2,126495,9181495
query_391,run_1,60000000,0,121774,9181495
query_391,run_2,60000000,0,123718,9181495
query_391,run_3,60000000,0,126820,9181495
query_259,run_1,60000,1,61526,7236981
query_259,run_2,60000,1,60151,7236981
query_259,run_3,60000,1,60228,7236981
query_259,run_1,60000000,0,60719,7236981
query_259,run_2,60000000,0,60129,7236981
query_259,run_3,60000000,0,60013,7236981
query_229,run_1,60000,0,36167,1740810
query_229,run_2,60000,0,36299,1740810
query_229,run_3,60000,0,35413,1740810
query_229,run_1,60000000,0,35415,1740810
query_229,run_2,60000000,0,35902,1740810
query_229,run_3,60000000,0,35616,1740810
query_225,run_1,60000,1,72509,1837174
query_225,run_2,60000,1,72121,1837174
query_225,run_3,60000,1,71330,1837174
query_225,run_1,60000000,0,70501,1837174
query_225,run_2,60000000,0,70633,1837174
query_225,run_3,60000000,0,71900,1837174
query_228,run_1,60000,0,38945,2160366
query_228,run_2,60000,0,39376,2160366
query_228,run_3,60000,0,39145,2160366
query_228,run_1,60000000,0,40045,2160366
query_228,run_2,60000000,0,38780,2160366
query_228,run_3,60000000,0,39032,2160366
query_110,run_1,60000,0,53327,1651610
query_110,run_2,60000,0,51408,1651610
query_110,run_3,60000,0,52589,1651610
query_110,run_1,60000000,0,52900,1651610
query_110,run_2,60000000,0,52376,1651610
query_110,run_3,60000000,0,51540,1651610
query_45,run_1,60000,1,67490,1558459
